Member_number,itemDescription,itemCost
1808,tropical fruit,7.28
2552,whole milk,8.15
2300,pip fruit,3.52
1187,vegetables,3.27
3037,whole milk,8.15
4941,rolls_buns,8.11
4501,vegetables,3.27
3803,pot plants,9.18
2762,whole milk,8.15
4119,tropical fruit,7.28
1340,citrus fruit,9.12
2193,beef,7.07
1997,sausage,2.65
4546,chicken,7.57
4736,butter,7.84
1959,fruit juice,8.22
1974,packaged fruit/vegetables,3.09
2421,chocolate,8.36
1513,specialty bar,6.93
1905,vegetables,3.27
2810,butter milk,2.61
2867,whole milk,8.15
3962,tropical fruit,7.28
1088,tropical fruit,7.28
4976,bottled water,4.69
4056,yogurt,9.51
3611,sausage,2.65
1420,vegetables,3.27
4286,brown bread,8.2
4918,yogurt,9.51
4783,hamburger meat,8.96
3709,vegetables,3.27
4289,pork,5.16
1559,beef,7.07
2900,pastry,6.14
1905,fruit juice,8.22
3527,canned beer,9.06
1495,vegetables,3.27
3558,citrus fruit,9.12
3128,sausage,2.65
1863,tropical fruit,7.28
3841,berries,4.72
3903,canned beer,9.06
2658,butter milk,2.61
4272,coffee,6.13
1120,pastry,6.14
2676,rolls_buns,8.11
1697,misc. beverages,7.18
2507,vegetables,3.27
4620,sausage,2.65
3365,canned beer,9.06
2978,ham,7.84
2910,turkey,2.58
1061,whole milk,8.15
3276,whole milk,8.15
1326,packaged fruit/vegetables,3.09
3023,rolls_buns,8.11
2185,ham,7.84
3552,rolls_buns,8.11
1967,vegetables,3.27
4708,sausage,2.65
2874,sausage,2.65
4177,sausage,2.65
1663,rolls_buns,8.11
2632,whole milk,8.15
1377,cheese,3.27
4162,red/blush wine,8.77
2270,sausage,2.65
4829,tropical fruit,7.28
3811,red/blush wine,8.77
4766,whole milk,8.15
2436,sausage,2.65
3860,whole milk,8.15
4875,frozen potato products,7.64
1587,vegetables,3.27
4038,citrus fruit,9.12
4750,flour,5.8
1199,sugar,2.61
1603,frozen meals,8.75
3111,chocolate,8.36
3894,vegetables,3.27
1456,vegetables,3.27
2022,herbs,6.13
2505,bottled water,4.69
4851,sausage,2.65
4293,coffee,6.13
2775,pork,5.16
3693,berries,4.72
1202,soda,8.04
3699,berries,4.72
4152,fruit juice,8.22
4155,citrus fruit,9.12
4010,pork,5.16
4389,detergent,9.56
3746,grapes,9.57
2560,sausage,2.65
1503,chicken,7.57
2555,whole milk,8.15
3645,citrus fruit,9.12
3886,soda,8.04
2932,sausage,2.65
1711,sausage,2.65
4291,sausage,2.65
1143,soda,8.04
4564,rolls_buns,8.11
3337,beef,7.07
4931,whole milk,8.15
2623,processed cheese,9.25
4581,tropical fruit,7.28
2635,sausage,2.65
1095,packaged fruit/vegetables,3.09
2990,whole milk,8.15
2426,berries,4.72
4555,citrus fruit,9.12
3635,tropical fruit,7.28
3058,hamburger meat,8.96
4391,hamburger meat,8.96
1306,whole milk,8.15
1024,fish,6.1
1295,sausage,2.65
1661,packaged fruit/vegetables,3.09
4591,pastry,6.14
3169,vegetables,3.27
3915,misc. beverages,7.18
1127,sausage,2.65
4828,sparkling wine,5.88
3683,specialty bar,6.93
1971,sausage,2.65
3014,cheese,3.27
3779,sausage,2.65
2489,whole milk,8.15
3564,newspapers,8.56
4092,berries,4.72
3221,curd,2.47
1279,tropical fruit,7.28
2581,soda,8.04
2295,rolls_buns,8.11
4760,canned beer,9.06
3649,canned beer,9.06
1075,sausage,2.65
3987,vegetables,3.27
4106,whole milk,8.15
4338,whole milk,8.15
4166,citrus fruit,9.12
1211,sausage,2.65
3954,sausage,2.65
3928,butter milk,2.61
3827,hamburger meat,8.96
4699,pasta,2.29
4747,vegetables,3.27
3028,sausage,2.65
2851,rolls_buns,8.11
4417,grapes,9.57
3822,vegetables,3.27
2288,coffee,6.13
2184,popcorn,9.41
4554,whole milk,8.15
3361,tropical fruit,7.28
2999,beef,7.07
2614,whole milk,8.15
4064,sausage,2.65
3567,tropical fruit,7.28
2587,canned beer,9.06
3783,finished products,4.23
1923,beverages,6.77
4835,hamburger meat,8.96
1514,whole milk,8.15
3154,finished products,4.23
1313,vegetables,3.27
2794,ham,7.84
2359,vegetables,3.27
2238,curd,2.47
3795,bottled beer,3.37
3724,curd,2.47
1152,whole milk,8.15
4559,whole milk,8.15
3922,dessert,3.75
1709,sausage,2.65
2219,vegetables,3.27
2206,ham,7.84
1752,vegetables,3.27
3942,vegetables,3.27
3296,soda,8.04
2257,herbs,6.13
4313,sausage,2.65
2001,rolls_buns,8.11
2449,curd,2.47
4914,sausage,2.65
2764,vegetables,3.27
4187,dog food,7.6
1392,specialty bar,6.93
3427,curd,2.47
1411,sausage,2.65
3390,soda,8.04
4787,beef,7.07
3310,canned beer,9.06
1782,pork,5.16
3375,sausage,2.65
2760,sausage,2.65
4249,canned beer,9.06
2904,specialty chocolate,3.61
4090,curd,2.47
3060,canned beer,9.06
3768,whole milk,8.15
1232,rolls_buns,8.11
1360,pork,5.16
1107,citrus fruit,9.12
2865,pot plants,9.18
2958,rolls_buns,8.11
2448,butter,7.84
1222,condensed milk,2.04
2943,sausage,2.65
2270,whole milk,8.15
3812,sausage,2.65
1482,beverages,6.77
4720,beverages,6.77
1344,bottled water,4.69
2397,newspapers,8.56
4182,cleaner,2.63
4487,sausage,2.65
3467,newspapers,8.56
2443,sausage,2.65
2749,misc. beverages,7.18
4389,white wine,7.06
1674,sausage,2.65
4262,meat,3.48
2082,sausage,2.65
4494,ice cream,8.03
2460,canned beer,9.06
4509,tropical fruit,7.28
2267,meat,3.48
4891,whole milk,8.15
3962,sausage,2.65
4964,sausage,2.65
2914,meat,3.48
2808,vegetables,3.27
1085,vegetables,3.27
3808,whole milk,8.15
4149,citrus fruit,9.12
2331,citrus fruit,9.12
4475,vegetables,3.27
2761,citrus fruit,9.12
2620,sausage,2.65
3206,sausage,2.65
1226,hard cheese,3.42
1395,cheese ,3.89
2465,turkey,2.58
3572,pork,5.16
4387,whole milk,8.15
1555,rolls_buns,8.11
1181,sausage,2.65
2814,ice cream,8.03
2794,liquor,7.05
2912,pip fruit,3.52
4667,vegetables,3.27
2235,soda,8.04
2353,soda,8.04
3449,sausage,2.65
1058,vegetables,3.27
1027,pork,5.16
3302,pork,5.16
2229,chocolate,8.36
2188,fruit juice,8.22
1547,pickled vegetables,7.36
1649,bottled water,4.69
3254,sausage,2.65
2818,tropical fruit,7.28
2703,canned beer,9.06
3332,vegetables,3.27
2473,meat,3.48
2810,sausage,2.65
1033,tropical fruit,7.28
4222,tropical fruit,7.28
3679,citrus fruit,9.12
2212,hamburger meat,8.96
1507,chicken,7.57
2870,chicken,7.57
3429,sausage,2.65
4148,canned beer,9.06
2970,turkey,2.58
2013,packaged fruit/vegetables,3.09
3967,pasta,2.29
2885,citrus fruit,9.12
3935,sausage,2.65
3283,whole milk,8.15
3268,canned beer,9.06
3677,citrus fruit,9.12
3495,liquor (appetizer),4.24
1410,citrus fruit,9.12
2440,sausage,2.65
4088,chicken,7.57
2469,hamburger meat,8.96
4229,sausage,2.65
2728,beef,7.07
4694,citrus fruit,9.12
2836,UHT-milk,7.26
1311,candy,6.53
1760,newspapers,8.56
3656,beef,7.07
3720,sausage,2.65
2996,sausage,2.65
1949,canned beer,9.06
4498,bottled beer,3.37
2447,onions,4.27
1952,tropical fruit,7.28
4099,bottled water,4.69
